rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
m000206/	838.0	2269.0	1970.0	376.0	2832.0	5329.0	3809.0	902.0	4368.0	3032.0	2653.0	1349.0	4420.0	678.0	1531.0	1537.0	744.0	1813.0	1238.0	4829.0	1540.0	4329.0	4457.0	776.0	3893.0	8393.0	5308.0	4504.0	3677.0	308.0	1920.0	85623.4	1158447.0	1064809.56792	0.0
m000212/	555.0	2223.0	2034.0	321.0	1865.0	4463.0	2732.0	1030.0	4528.0	2280.0	3139.0	1022.0	3519.0	564.0	1431.0	1502.0	572.0	1284.0	1022.0	4157.0	1149.0	4256.0	4128.0	612.0	4079.0	7134.0	3785.0	4024.0	2895.0	320.0	1493.0	74119.3	1039261.0	1240636.52724	0.0
m000234/	751.0	1770.0	2304.0	348.0	3031.0	6596.0	3253.0	1191.0	5451.0	3047.0	2797.0	1531.0	4512.0	734.0	1973.0	1486.0	612.0	1614.0	1287.0	4742.0	1366.0	4794.0	4385.0	797.0	5111.0	9720.0	4587.0	5175.0	3762.0	390.0	1884.0	90999.5	1269438.0	1166056.95366	0.0
m000270/	617.0	2456.0	2153.0	219.0	2787.0	4681.0	3244.0	959.0	4981.0	3308.0	2942.0	1445.0	4513.0	719.0	1577.0	2167.0	671.0	1896.0	1446.0	4378.0	1327.0	4475.0	4663.0	697.0	4381.0	9370.0	4703.0	4862.0	3057.0	406.0	1904.0	87004.9	1097004.0	1058075.34852	0.0
m000320/	870.0	2122.0	2162.0	302.0	2818.0	5153.0	3595.0	1163.0	4744.0	2866.0	3215.0	1388.0	5046.0	776.0	1555.0	1733.0	610.0	1558.0	1468.0	5472.0	1470.0	4488.0	4489.0	745.0	4592.0	8547.0	4970.0	5099.0	4009.0	382.0	2021.0	89426.4	1203905.0	1465340.74196	0.0
m000348/	690.0	1841.0	1766.0	381.0	2310.0	4939.0	3446.0	1144.0	4620.0	2034.0	3173.0	1101.0	4273.0	534.0	1467.0	1272.0	573.0	1262.0	1073.0	3984.0	1183.0	4015.0	3560.0	537.0	3587.0	7108.0	4092.0	4379.0	2993.0	257.0	1651.0	75246.3	1047960.0	1321150.75009	0.0
m000389/	788.0	2542.0	1834.0	315.0	2570.0	6169.0	3745.0	1086.0	5319.0	3205.0	2486.0	1582.0	4682.0	599.0	1422.0	1747.0	529.0	1492.0	1175.0	5198.0	1369.0	4650.0	4230.0	668.0	5007.0	9340.0	4533.0	5161.0	3508.0	374.0	1791.0	89117.7	1199622.0	1155217.59655	0.0
m000392/	726.0	2131.0	2155.0	333.0	2187.0	5090.0	2951.0	949.0	4385.0	2511.0	2738.0	1221.0	4214.0	598.0	1709.0	1525.0	663.0	1315.0	1282.0	5288.0	1195.0	4745.0	3958.0	707.0	3902.0	8187.0	4678.0	4759.0	3920.0	345.0	1807.0	82172.5	1096915.0	982293.278862	0.0
m000394/	744.0	2546.0	1769.0	351.0	2228.0	5791.0	3333.0	893.0	5153.0	2024.0	2740.0	1124.0	3924.0	554.0	1869.0	1784.0	473.0	1302.0	1133.0	4900.0	1464.0	4600.0	3787.0	643.0	3519.0	7852.0	4748.0	4447.0	3801.0	302.0	1584.0	81384.2	1139721.0	1506314.77959	0.0
m000430/	673.0	2402.0	1915.0	359.0	2309.0	4822.0	3468.0	1209.0	4693.0	2947.0	2553.0	1185.0	4262.0	567.0	1501.0	1655.0	768.0	1303.0	1483.0	4300.0	1140.0	4854.0	3991.0	596.0	3514.0	8743.0	4049.0	5051.0	3531.0	440.0	1924.0	82210.9	1098569.0	1074485.73361	0.0
