rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
M070481/	367.0	1453.0	1837.0	273.0	1955.0	3923.0	2198.0	753.0	4785.0	1837.0	2210.0	772.0	3226.0	454.0	1443.0	1105.0	346.0	1108.0	1484.0	3928.0	790.0	3391.0	3176.0	421.0	2972.0	5641.0	4190.0	3475.0	2965.0	283.0	1240.0	64000.4	801235.0	1073055.18537	0.0
M070524/	953.0	1946.0	989.0	291.0	1916.0	4082.0	2764.0	1145.0	3559.0	1856.0	3358.0	1045.0	2709.0	509.0	1908.0	2441.0	487.0	1951.0	881.0	5152.0	1370.0	4782.0	4425.0	726.0	3243.0	6335.0	4516.0	3930.0	3014.0	274.0	1713.0	74270.3	1036281.0	1227324.2741	0.0
M070531/	652.0	2063.0	2030.0	280.0	2515.0	4942.0	3119.0	990.0	6370.0	2623.0	3350.0	1323.0	4336.0	490.0	1362.0	1238.0	635.0	1495.0	1787.0	4291.0	1041.0	4154.0	3599.0	488.0	3679.0	7476.0	3927.0	4441.0	2959.0	316.0	1450.0	79421.7	933146.0	1252280.51631	0.0
M075604/	741.0	1760.0	1940.0	294.0	2189.0	5162.0	2472.0	1017.0	4520.0	2201.0	2711.0	1001.0	3207.0	577.0	1151.0	1195.0	533.0	1105.0	1435.0	3688.0	1150.0	3913.0	3247.0	574.0	3124.0	6988.0	4008.0	4831.0	3001.0	315.0	1509.0	71561.9	939453.0	811626.141878	2.0
M075779/	850.0	2580.0	2344.0	374.0	3433.0	5998.0	4341.0	1448.0	6572.0	3404.0	4240.0	1578.0	5374.0	918.0	1819.0	2081.0	867.0	2083.0	1995.0	5312.0	1611.0	5339.0	5823.0	924.0	6279.0	11236.0	6622.0	6324.0	5398.0	529.0	2184.0	109878.0	1418322.0	1312576.80686	0.0
M136779/	666.0	1841.0	1630.0	356.0	2213.0	5221.0	3408.0	885.0	4594.0	2063.0	2267.0	1133.0	4244.0	482.0	1415.0	1431.0	518.0	1479.0	1086.0	3597.0	1144.0	3798.0	3469.0	560.0	4480.0	7597.0	4295.0	4632.0	3226.0	279.0	1554.0	75560.8	987112.0	853683.675799	0.0
M136846/	719.0	2224.0	2134.0	295.0	2925.0	6417.0	3205.0	1067.0	5457.0	2695.0	3551.0	1231.0	4069.0	728.0	1695.0	1528.0	636.0	1433.0	1817.0	4477.0	1453.0	4596.0	4587.0	501.0	4497.0	9323.0	5413.0	5428.0	3658.0	305.0	2038.0	90101.3	1194936.0	1036418.62775	0.0
M136889/	689.0	2490.0	2462.0	404.0	2626.0	4757.0	4107.0	905.0	7392.0	2699.0	4119.0	1495.0	4576.0	692.0	1722.0	1909.0	850.0	2115.0	2316.0	4160.0	1054.0	4868.0	4003.0	961.0	5483.0	9368.0	3615.0	5987.0	3837.0	633.0	2203.0	94495.1	1092063.0	911762.037011	0.0
M136890/	522.0	1603.0	1964.0	245.0	2287.0	4355.0	2858.0	981.0	4830.0	2077.0	3122.0	904.0	3317.0	524.0	1573.0	1009.0	519.0	902.0	1553.0	4090.0	1099.0	4130.0	3737.0	407.0	3249.0	6272.0	4287.0	3948.0	3101.0	320.0	1676.0	71462.2	1009101.0	834341.979042	0.0
M136903/	689.0	2275.0	2165.0	292.0	2695.0	6004.0	3454.0	1196.0	5848.0	3293.0	3292.0	1428.0	3586.0	576.0	1813.0	1615.0	609.0	1172.0	1499.0	5761.0	1570.0	5050.0	4568.0	614.0	3903.0	9346.0	4843.0	4501.0	3675.0	338.0	2051.0	89723.1	1206384.0	1070515.14599	0.0
M136904/	666.0	2239.0	2104.0	315.0	3059.0	5801.0	3512.0	993.0	6068.0	2828.0	3540.0	1432.0	4375.0	688.0	1969.0	1339.0	619.0	1687.0	1731.0	4205.0	1264.0	4768.0	4093.0	575.0	5067.0	8681.0	5112.0	4609.0	3279.0	364.0	1828.0	88810.2	1196199.0	961143.242792	0.0
M136919/	429.0	1557.0	1716.0	306.0	1901.0	4896.0	2354.0	770.0	4264.0	1873.0	2014.0	965.0	3252.0	553.0	1279.0	1141.0	467.0	1200.0	1059.0	3849.0	810.0	3745.0	3696.0	468.0	2721.0	6203.0	4612.0	3892.0	3032.0	347.0	1431.0	66802.0	914572.0	826050.588887	0.0
M136925/	538.0	1767.0	2235.0	273.0	1767.0	3582.0	2402.0	873.0	6063.0	1613.0	2826.0	656.0	3105.0	462.0	1050.0	1158.0	384.0	1004.0	1699.0	3574.0	1011.0	3684.0	3750.0	336.0	2292.0	5644.0	3538.0	3714.0	2854.0	322.0	1482.0	65657.6	925334.0	854576.340755	0.0
M136934/	956.0	2691.0	2604.0	352.0	3021.0	6996.0	4253.0	1633.0	6399.0	3219.0	3926.0	1635.0	4626.0	620.0	1591.0	1972.0	734.0	1994.0	2020.0	5025.0	1449.0	5317.0	5848.0	881.0	5177.0	11174.0	4981.0	5155.0	4200.0	426.0	2329.0	103205.0	1317616.0	1065322.33318	0.0
