rowname,auc_imp
Left.VentralDC,0.9175
Right.Thalamus.Proper,0.9
Left.Thalamus.Proper,0.8425
SubCortGrayVol,0.8325
rh_lateraloccipital_thickness,0.83
Right.VentralDC,0.81
Left.Caudate,0.7899999999999999
Right.Hippocampus,0.755
Right.Amygdala,0.75
lhCortexVol,0.74
Left.Amygdala,0.7375
CortexVol,0.7275
Left.Hippocampus,0.725
Right.Accumbens.area,0.725
Left.Pallidum,0.715
Right.Pallidum,0.7125
lh_parsorbitalis_thickness,0.7025
lh_lateraloccipital_thickness,0.7
rh_precuneus_thickness,0.7
Right.Caudate,0.7
rhCortexVol,0.7
rh_parstriangularis_thickness,0.6775
lh_postcentral_thickness,0.6675
rh_postcentral_thickness,0.6675
rh_posteriorcingulate_thickness,0.6575
rh_parsopercularis_thickness,0.6525
rh_precentral_thickness,0.6425000000000001
lh_parsopercularis_thickness,0.63
Left.Cerebellum.Cortex,0.6224999999999999
rh_superiorfrontal_thickness,0.62
lh_parstriangularis_thickness,0.6125
lh_paracentral_thickness,0.6075
Right.Cerebellum.Cortex,0.605
rh_paracentral_thickness,0.6025
lh_parahippocampal_thickness,0.6
lh_rostralmiddlefrontal_thickness,0.6
Left.Accumbens.area,0.5875
lh_posteriorcingulate_thickness,0.5825
rh_parsorbitalis_thickness,0.58
rh_superiortemporal_thickness,0.5725
lh_superiorparietal_thickness,0.57
rh_insula_thickness,0.5675
lh_precuneus_thickness,0.555
rh_supramarginal_thickness,0.545
lh_supramarginal_thickness,0.54
lh_superiorfrontal_thickness,0.5375
rh_lingual_thickness,0.5375
lh_transversetemporal_thickness,0.535
rh_transversetemporal_thickness,0.525
rh_rostralmiddlefrontal_thickness,0.52
lh_caudalanteriorcingulate_thickness,0.5125
rhCerebralWhiteMatterVol,0.5075
Left.Cerebellum.White.Matter,0.5025000000000001
rh_entorhinal_thickness,0.5025
rh_parahippocampal_thickness,0.5
CerebralWhiteMatterVol,0.4975
rh_superiorparietal_thickness,0.495
Right.Cerebellum.White.Matter,0.495
rh_caudalmiddlefrontal_thickness,0.49000000000000005
TotalGrayVol,0.4875
lh_superiortemporal_thickness,0.485
lhCerebralWhiteMatterVol,0.4825
lh_precentral_thickness,0.48
lh_caudalmiddlefrontal_thickness,0.47500000000000003
Right.Putamen,0.4725
lh_insula_thickness,0.4675
rh_caudalanteriorcingulate_thickness,0.4475
rh_MeanThickness_thickness,0.42000000000000004
rh_middletemporal_thickness,0.4175
Left.Putamen,0.40750000000000003
rh_inferiortemporal_thickness,0.395
lh_rostralanteriorcingulate_thickness,0.39249999999999996
lh_entorhinal_thickness,0.39
rh_pericalcarine_thickness,0.3825
rh_medialorbitofrontal_thickness,0.3625
lh_MeanThickness_thickness,0.355
lh_lingual_thickness,0.34249999999999997
lh_inferiortemporal_thickness,0.305
rh_fusiform_thickness,0.275
lh_fusiform_thickness,0.21
lh_medialorbitofrontal_thickness,0.195
lh_cuneus_thickness,0.185
rh_inferiorparietal_thickness,0.1625
rh_rostralanteriorcingulate_thickness,0.1575
rh_cuneus_thickness,0.155
lh_inferiorparietal_thickness,0.14500000000000002
lh_isthmuscingulate_thickness,0.13
lh_pericalcarine_thickness,0.1225
lh_middletemporal_thickness,0.11750000000000001
rh_lateralorbitofrontal_thickness,0.11
lh_lateralorbitofrontal_thickness,0.075
rh_isthmuscingulate_thickness,0.024999999999999998
