fineAGE,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_transversetemporal_thickness,lh_insula_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness
1,3.308026756062474,2.9590415625837534,2.6080875048346233,3.0856975568502887,3.2118881975657416,3.080797447591897,3.42720743238864,2.8437013981753276,2.7518059874485425,3.7054126339227005,2.6674581383247213,3.815353589240012,3.3078355009673146,2.795439096469804,2.852701517487073,3.05471033955692,3.2802448500828767,3.0769330300685085,2.169774837437234,2.485494070715892,2.9375080824901563,2.710160631103223,3.036514338642283,3.7102467347495782,3.2296302088023823,3.451195532866121,2.74386372489608,3.1108431386151363,3.0973619990871253,2.888659582123198,3.647221585730774,3.3085951355779932,2.9619166717528063,2.6216172882664597,3.1671404316334173,3.2720896385325142,3.0891090363475624,3.3987100452157404,2.873222910283652,2.7706366368149014,3.6535097256270186,2.7403617831405676,3.8048356175192173,3.3349316407277176,2.7217360624810265,2.8652298718687566,3.0099162944201887,3.267189882941167,3.030909115466142,2.257887420388278,2.468922378662752,2.985384927313411,2.6890921569413213,3.026555441804068,3.7862471914746907,3.190337340169521,3.432547885097112,2.753678408875779,3.131412102623,3.064728503321277,2.933037942555332,3.594666981500736
1.083,3.3096982387021225,2.9630553801321464,2.607109488027962,3.1114303175721805,3.211104996626615,3.078578481967486,3.425672664903267,2.8411143357453845,2.7490230794939134,3.6942042412553002,2.6694185610389907,3.7952742319087966,3.305082305000574,2.8018684709596795,2.8573989321754545,3.054515158437778,3.275541591234939,3.072690176974348,2.172050025916196,2.4880616231909856,2.9402595996694587,2.7172004311045286,3.033573315455602,3.70092258349706,3.2213183419026223,3.4470468743499563,2.7425793364737006,3.115751775894057,3.0963639847492295,2.887530543652419,3.6479979936925035,3.3004599766737086,2.9664818915934426,2.619232561916737,3.1942907317777154,3.2706017833219176,3.086601124153549,3.3981256595324525,2.867373698239732,2.7708009147636954,3.644678726027119,2.741567600663533,3.787187255560447,3.3330471620824413,2.7307022972721935,2.86847818703695,3.013256301487889,3.268689379938549,3.029629373001218,2.2565992579936114,2.471472911775304,2.9838589121804913,2.6962352698216954,3.024116924253666,3.7780196705698934,3.183366896539929,3.427812820804801,2.752498629219959,3.138198816050109,3.063603927014517,2.9348847612591555,3.597263445737881
1.17,3.311296157693999,2.967129153792217,2.6059502837288298,3.1376469099045194,3.2102538557862537,3.0762474035712075,3.424014014821188,2.8384241771554994,2.7461134402968876,3.6826170217039342,2.671329821723739,3.7745965779514434,3.3022063958353116,2.8084234590269155,2.8621886877470946,3.054262025647041,3.2706532526641263,3.068277736652432,2.174203265085846,2.4906291856702745,2.9430464021048968,2.724394962863816,3.0304873582804097,3.69122600178647,3.2127454853069857,3.4427338514738453,2.7411939812476778,3.120724963847323,3.0952775990231327,2.8863206763989195,3.648747815617485,3.292089115816718,2.9711045780135024,2.6166311172994736,3.221963416738767,3.2690102534035854,3.0839699168648544,3.3974419991279974,2.8613697846781703,2.770887825836134,3.635527096583892,2.7427000883903143,3.7689888834005854,3.3310621990489317,2.7398552807202923,2.8717858362827178,3.0166184953532893,3.2701413443068406,3.0282654581398467,2.255119031591855,2.474016158717021,2.9822654731585225,2.7035316363014816,3.0215389243798656,3.7694771045084092,3.176167026564736,3.4229102534368008,2.7512189134467726,3.1450936268302203,3.062399927034065,2.936651780755664,3.599859367747154
1.25,3.31262629256861,2.9707545775406135,2.6047632558759473,3.161070944287861,3.2094439217539015,3.074099208860339,3.422443727854198,2.8359699630008337,2.7434445807902414,3.6721078446463906,2.6729575507166254,3.75591631198366,3.2995708885445967,2.814284611662791,2.866471980110828,3.053985408211967,3.26619579147739,3.0642518347070102,2.1759740505826217,2.4928783980294917,2.9455210704544696,2.7308439307349808,3.0276468077770233,3.6823790932775244,3.2049884852076067,3.4387999851665003,2.7398848002388023,3.1251426312204496,3.094242243331524,2.8851842917035824,3.6493794920375797,3.284533009016419,2.9752084960167693,2.6141470345503444,3.246699502517929,3.267517897937686,3.0815482191820984,3.3967491098862896,2.855963835399885,2.7708907060165964,3.62720661733011,2.743622723607183,3.7525262056365802,3.3292282141341447,2.7480501811982077,2.8747395406563796,3.0195848084383266,3.2713682692705017,3.0269909607627827,2.2536404877205363,2.4762371621377315,2.9808057692545638,2.710068412519027,3.019148509952646,3.7616954569230163,3.169642658091621,3.4184569701048635,2.7500032492469386,3.151235881394801,3.0612700125335612,2.938124144752112,3.602132900376324
1.33,3.3138230469186536,2.9742644803122578,2.60346021090673,3.1838404378743252,3.208607855229725,3.071946535733688,3.4208302394604138,2.8335344265884475,2.740782112459134,3.6617382963049656,2.6744609663236085,3.7375557286081103,3.2969440106040495,2.8199863174978366,2.870639267132567,3.053666777219538,3.2617743185890262,3.0602561262394787,2.1775444005878684,2.4950205305005824,2.9479115149932116,2.7371331922428532,3.0248034896251634,3.673598760544684,3.197352286473827,3.434896903759422,2.738541807353647,3.129411432465977,3.093172032251852,2.8840250441743067,3.6499557768359496,3.2771122186390884,2.9791717403624345,2.611574856215359,3.2707552900346144,3.2659978733183244,3.079124416850112,3.39599467717514,2.8506679611187944,2.7708197772896894,3.6189769761010138,2.7444316028405695,3.7363236069675763,3.327385863661857,2.756032735782868,2.8776091136056863,3.0224310166755837,3.2724915154937153,3.0256969924473758,2.252049449338497,2.478345481048998,2.979351361044602,2.7164398940849765,3.0167390873044715,3.7539843104869353,3.163210458834329,3.414056213328768,2.748750302111946,3.1571886257077155,3.0601182651404133,2.939450418671833,3.6042976693245357
1.42,3.3150099641541804,2.978075037262834,2.601855608606991,3.2086737373628305,3.207636043895893,3.06951942535984,3.4189634258119415,2.8308167738633316,2.737794475038649,3.650239454370597,2.676003715537377,3.7172821929091473,3.293999087691059,2.8262101478081476,2.8751888023966714,3.05325809802278,3.256843178852514,3.055797044855046,2.1790714612953037,2.497302435601783,2.9505000913254134,2.7440177124268366,3.021601448499506,3.663800465077613,3.188905958280642,3.430542734752559,2.736990524599482,3.1340358923240506,3.0919263817061773,2.882693562472678,3.6505378869362723,3.2689255748764228,2.983462241269956,2.6085758538335315,3.297004881974017,3.2642547723365443,3.076395123513094,3.3950723766967785,2.844841676572652,2.77065175776233,3.6098272095446626,2.7452056180291255,3.7184065592581903,3.3253032199250843,2.7647592899900792,2.8807368198304806,3.025489438116635,3.2736312390003897,3.024218004236556,2.250125065063857,2.480582646621479,2.9777214818176265,2.723410232083434,3.0140057660611648,3.7453935416513806,3.1560844056856654,3.4091681476044404,2.747296171826648,3.16365893908705,3.0587964521936324,2.940767853536682,3.606603027803878
1.5,3.3159232848895184,2.9813394579588803,2.6003060272655616,3.230052331755931,3.2067444458265904,3.0673572355996495,3.4172581343862194,2.8284209276532897,2.7351455879555617,3.6401666170509235,2.6772429651993157,3.6996009350420964,3.291390547119621,2.831573029191432,2.879109578066673,3.052850188220973,3.2524981810981908,3.05186549752803,2.1802158858810525,2.4992170233106044,2.9527115602661405,2.749967597912713,3.018752249094641,3.6551616058689955,3.18152646244876,3.4267050712585476,2.735575681477233,3.137988353048431,3.0907821029268723,2.8814857314212814,3.6509964645384767,3.2617923318979023,2.987126554093218,2.6058164723786015,3.319615035682938,3.2626759507660745,3.073966848801492,3.394187164113063,2.8397797116606007,2.7704239851072643,3.6017905991180235,2.7457727657976156,3.7027566286660636,3.3234430926431084,2.772290609551573,2.8834276135030317,3.028080423552358,3.2745341679001516,3.0228826601771712,2.248294975846536,2.482451510950179,2.9762783269574093,2.7294304625147428,3.0115559509434617,3.7378322101575865,3.149848066011999,3.4048790097595094,2.7459639984544437,3.169208974115174,3.057598309903615,2.9417836860433595,3.6085366739300526
1.58,3.3167032251002886,2.984488357678175,2.5986404288077964,3.2507763853521543,3.2058267152654634,3.065190567423676,3.415509641533704,2.8260437591855276,2.7325030920480127,3.6302334084473675,2.67835790147535,3.6822393597672796,3.2887906358983527,2.8367764637738877,2.882914348394681,3.0524002648618107,3.248189171642238,3.0479641436789047,2.181159874975273,2.501024531131299,2.954838805396037,2.7557577770352975,3.015900282041302,3.6465893224364825,3.174267767982477,3.4228981926648023,2.734127026478705,3.1417919476452125,3.089602968759504,2.8802550375359464,3.651399650518955,3.2547944053423503,2.990650193258878,2.602968995337815,3.341544891129382,3.261069460042142,3.0715364694406606,3.393240408059905,2.834827821745745,2.7701224035448297,3.59384482671607,2.746226157582624,3.687366777168938,3.3215745998036326,2.779609583219812,2.8860342757512276,3.0305513041403014,3.2753334180594664,3.0215278451794445,2.246352392118494,2.484207690769435,2.9748404677911897,2.7352853982944554,3.0090871276048032,3.730341379813103,3.143703895554156,3.40064239847042,2.744594542147082,3.174569498891632,3.0563783347209528,2.94265342847331,3.6103615563752687
1.66,3.317349784786492,2.987521736420718,2.5968588132336965,3.2708458981515007,3.204882852212512,3.0630194208319192,3.413717947254394,2.823685268460045,2.729866987316003,3.6204398285599306,2.6793485243654818,3.6651974670846976,3.2861993540272527,2.841820451555515,2.8866031133806946,3.051908327945294,3.243916150484657,3.044092983307669,2.1819034285779657,2.5027249590638667,2.9568818267151036,2.761388249794589,3.01304554733949,3.638083614780075,3.1671298748817933,3.4191220989713242,2.7326445596038975,3.1454466761143953,3.088388979204073,2.8790014808166715,3.6517474448777096,3.2479317952097686,2.994033158766937,2.6000334227111725,3.3627944483133483,3.2594353001647467,3.0691039854305986,3.392232108537304,2.8299860068280838,2.7697470130750252,3.5859898923388025,2.7465657933841516,3.672237004766813,3.3196977414066566,2.786716210994797,2.888556806575068,3.032902079880464,3.276028989478333,3.0201535592433744,2.244297313879731,2.485851186079248,2.9734079043189667,2.7409750394225725,3.0065992960451897,3.7229210506179315,3.1376518943121376,3.396458313737173,2.7431878029045618,3.1797405134164234,3.0551365266456463,2.943377080826534,3.6120776751395267
1.67,3.317421226429133,2.987892786194858,2.596627953833442,3.273308564851639,3.2047630318900615,3.06274771261934,3.413490947869159,2.823391770398114,2.729537923604032,3.619225448718103,2.6794636114418013,3.663089708181641,3.285876050544549,2.8424397389250347,2.887056052378338,3.051843881752478,3.243384553267189,3.0436112112401785,2.181982279657804,2.502929983500804,2.9571312823932874,2.7620808295358317,3.012688510901481,3.637025082432281,3.1662461320902264,3.4186522518229396,2.732456873846995,3.1458930500234463,3.088234779740171,2.8788431786837507,3.6517870244491513,3.2470834833791855,2.994446138338894,2.599660281911962,3.3654028094897637,3.2592290846927194,3.0687997769461917,3.3921017438217835,2.8293885196116166,2.769694899577501,3.5850144125902546,2.7466002493917543,3.6703640700279148,3.319462545903773,2.7875896088960506,2.8888662074372733,3.033187481975875,3.276108645994254,3.0199804044510135,2.2440325193296005,2.4860486998634044,2.973229206238423,2.7416746222833965,3.006286980584702,3.721998466580596,3.136901874804873,3.3959389964189746,2.7430093390428687,3.1803735652924523,3.054979765510969,2.9434572654121673,3.6122845425387413
