"","x"
"Left.Cerebellum.White.Matter",1.89084079320113
"Left.Cerebellum.Cortex",0.609599136043708
"Left.Thalamus.Proper",2.33593890509124
"Left.Caudate",1.7016245393711
"Left.Putamen",1.28772858428443
"Left.Pallidum",1.41855559490085
"Left.Hippocampus",2.07946332589801
"Left.Amygdala",2.002300019998
"Left.Accumbens.area",0.779566697771557
"Left.VentralDC",0.650853873270314
"Right.Cerebellum.White.Matter",0.779566697771557
"Right.Cerebellum.Cortex",0.370189488418106
"Right.Thalamus.Proper",3.50378126367102
"Right.Caudate",2.25285938378851
"Right.Putamen",1.25845941043375
"Right.Pallidum",1.47824075896329
"Right.Hippocampus",1.7598326591522
"Right.Amygdala",1.617530785383
"Right.Accumbens.area",1.47824075896329
"Right.VentralDC",0.00195
