fineAGE,sex,ct,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_transversetemporal_thickness,lh_insula_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness
6.08,1,10,2.824911720111522,2.790192423359489,2.101666156248345,2.870866282465423,2.930302361342112,2.8020293913746652,3.0533682135682767,2.4888822670474533,2.4395811989798633,3.100539926368386,2.3327117791590464,2.9897797562134536,2.995092304696583,2.47224333988575,2.6653274691299726,2.7964971366813014,2.870204073028216,2.702761552463437,1.687978716134033,2.257179840301002,2.716890011041193,2.648828014952463,2.653141974314082,2.985427806939917,2.7824867121781574,3.049994918496538,2.435749209695686,2.954988492725919,2.776923426652194,2.4657827330379773,3.3727610314432295,2.7382602511810084,2.764942186761162,2.1139694356179604,2.9464349573973583,2.9250772120429622,2.7887782435763793,3.033256352894973,2.507894786128926,2.464327292050615,3.068952752115177,2.3892768428340574,3.001949593456981,3.0419761734140844,2.4845908534851033,2.67389760929687,2.7709300276153264,2.8582323142304946,2.721355442023644,1.7379573148594452,2.2338847908747175,2.6803619785048136,2.634165624037924,2.670859828514236,3.1017768283650424,2.7586743678460297,3.0396098732007317,2.444515280360598,3.010937677282469,2.7690846908736635,2.4237573235998044,3.4089304855576605
3.75,0,10,2.9933263875642524,2.840422606680759,2.3210885657758626,3.0715196576385226,2.9891405424633573,2.8199826164006696,3.1573751335150035,2.5351677524439733,2.473985428952166,3.1992411088960737,2.4529844770567792,3.096623122999487,3.0359323658783985,2.516607335799565,2.697050565843143,2.8137668644320066,2.8788376802354345,2.7291358707907225,1.9067623144688994,2.3182125267184204,2.758420714198298,2.676422003372623,2.7289323121452367,3.1535370651388694,2.8231237238445157,3.1230445138716765,2.497255468887585,2.9894319231549673,2.854092905820289,2.5297185065714536,3.429078531221207,2.7540011956805017,2.835163457774381,2.279988616935363,3.143617833387574,3.045340474614546,2.832392709054851,3.1766553649288323,2.518961720227557,2.542727442548134,3.1887596988497453,2.5158450282051574,3.1288645454836552,3.07781428987594,2.5661144497645365,2.7013517726110634,2.831480951236406,2.962345355714672,2.755599464296292,1.9327583016701584,2.312839200525715,2.76838802400085,2.6667399657796733,2.7475816317891177,3.3099109805954283,2.8243740088470943,3.09846122332314,2.50517059830047,3.0511184427572884,2.8314427820581627,2.5779285504615626,3.4276967428203697
6.58,1,10,2.754457448179585,2.766642931086171,2.02659991945236,2.755450178610744,2.9147872769100585,2.7868118081186033,3.0262733493066882,2.481014525492507,2.4254572972788093,3.090709056206245,2.2931597310031453,2.9875278751032255,2.9820721241972663,2.445096823528369,2.6456959096057306,2.7779628547701924,2.856740259959802,2.689677056460453,1.6188719288775064,2.2284054622955045,2.6986671638936772,2.625251518830322,2.6342814742784304,2.942147072431045,2.782326007796408,3.0377222141822187,2.4140420778783978,2.9230524627683434,2.7565102983545033,2.4495351951165136,3.354552360378782,2.7451611528667987,2.734322211240964,2.0632056840932425,2.8289161885262444,2.8796843211966765,2.7728007733668965,2.980603580869105,2.5095445052031877,2.434821730230836,3.0532849666533135,2.3495409195472403,2.99109749194023,3.0271675446965114,2.4508706241700535,2.6587056918900775,2.7414275452843864,2.8244290990741523,2.7056014580799594,1.6837186113753309,2.1989435331860374,2.636670498547769,2.6089026147591747,2.6483164499623135,3.025179086342933,2.7547647512183113,3.0327874747129164,2.4220042050482435,2.9735226676445663,2.7532895681877587,2.374523567886963,3.3796345921063833
6.33,0,10,2.7914188863489278,2.778981744492111,2.0655830084241895,2.8163542305229683,2.9226724191837428,2.7437888029565225,3.040031725904114,2.4848571963564208,2.3977824851705516,3.075902523079547,2.313542754035682,2.987834712070354,2.9642607027463956,2.4594486305392147,2.65607812170181,2.739978332519026,2.7906493650148336,2.645918319366636,1.6544040114292329,2.2254216242820175,2.7081898365436983,2.637819583118384,2.6330513956572603,2.9641959130372855,2.75947400408186,3.0437082494434926,2.402829900997134,2.90205704699228,2.7668870548278606,2.4577705990085836,3.363927162813952,2.7192410797970035,2.7503190820948133,2.0638601167008686,2.8909973418215422,2.90354272314792,2.7510434461443554,3.0081493374777333,2.5085812573973114,2.4288616819185074,3.06067531434182,2.3699643303288367,2.995873136276178,3.0057521170173676,2.5025445668012325,2.6667124485639473,2.7417064165323737,2.8418369505020986,2.684434403551819,1.7113872527205132,2.2172182703384413,2.660192889693892,2.6223412221894953,2.6411426673639165,3.0658411752036856,2.7562695145329177,3.0359421966333686,2.4084017410632965,2.956608246087737,2.761293735451831,2.399853776196136,3.333090445576283
6.25,0,10,2.802504043858562,2.7826919027674615,2.077435628420298,2.834493536741322,2.925141766446934,2.7462213770696193,3.0443453034725274,2.4861253738763254,2.400045505030482,3.077545276663579,2.319808925047667,2.988273496695901,2.9663482463013864,2.4637123497559763,2.6591611685546925,2.7429228108461174,2.792821569254965,2.6480269354660515,1.6653608796445083,2.2299719848188473,2.7110633801818684,2.641511969316274,2.6360676918387016,2.9710742715280323,2.759560117465698,3.0456872745839,2.4062861361497494,2.9070923787216754,2.7701357276614553,2.460358773659047,3.366812854373398,2.7182045937387613,2.755147941349242,2.0719382691518735,2.909460195709679,2.9106736332792025,2.7535987890532487,3.0164381272635863,2.508329506124305,2.4335456673559825,3.063227579028055,2.376265200063018,2.9976721259209764,3.00811731483342,2.5078336305449898,2.6691010896368526,2.7463667612813945,2.8471936255568684,2.686945305513638,1.7200091980226095,2.222725763963311,2.666985203309093,2.6263006563482816,2.6447401038217686,3.0778104141994174,2.7569411378012285,3.0370600436693387,2.411984871645676,2.9624998925039616,2.7638100386352553,2.407658132071823,3.337723406687974
2.75,1,10,2.9894677417364472,2.831927121165478,2.355378516592201,2.9873541068513245,3.0075944496367355,2.8989162093721257,3.1907741753929897,2.55989189902564,2.5400145416291915,3.3051393562201086,2.472262756402436,3.1880807675840686,3.090404977847716,2.4941665956153436,2.680486114057052,2.8780732113069276,2.9957317523296707,2.8199890300351265,1.9485163086838735,2.342122964601121,2.7543336995308847,2.646716308282454,2.7759952239359054,3.207591449742573,2.90392329528937,3.1624051557534707,2.546628606904602,3.019352475306458,2.878145006910409,2.5512108435812224,3.438838655394884,2.827129318368196,2.828704211094027,2.3642777166736533,3.051261832312639,3.0608225769229933,2.89309112596635,3.195757821888037,2.5330124539427468,2.587291253793971,3.2638110691534337,2.5405718077289023,3.2204955345480535,3.1322662122506104,2.4975864644737107,2.6912473594535715,2.8477442772728594,2.980056392186618,2.8068761625474083,1.9870977253539301,2.302976378360901,2.7658124951387864,2.63771793325651,2.802058968012025,3.352246920070904,2.8765496772172323,3.1373844252977143,2.5572903836029663,3.0712939228201077,2.8525259478448683,2.606090212462548,3.495669174177815
4.42,0,10,2.9699733080194055,2.8360164240941454,2.2780083843363585,3.070694506538931,2.974492077383589,2.800643587509299,3.1312213632348853,2.520235271565254,2.4535573246280165,3.153251722042716,2.429201291810235,3.049292125794121,3.0164572244690975,2.5177047391099086,2.6980082503244303,2.7988050973422753,2.852338077130671,2.7045064711830267,1.8612662577611907,2.304821143585599,2.7537966685615327,2.682364237060565,2.7043097043556723,3.11035496741753,2.7945172277755366,3.0993639170068454,2.476114495644013,2.981624672047537,2.834931147019327,2.5133201075800384,3.417697241341393,2.7314458730630466,2.8271942971525377,2.232669717308952,3.146028719272962,3.0232797032768968,2.8114775408711026,3.150101735469927,2.512363540401157,2.5205368128376735,3.1464158015135295,2.4893342132744833,3.079125861394923,3.059936829474781,2.5708356042542886,2.700767459839767,2.820175079099055,2.9414159813810494,2.739065252672374,1.8865172856109695,2.3043525014615,2.7571984699188863,2.671735650564684,2.721840881958925,3.2665313312979434,2.7974731966316897,3.07697423763546,2.4837681209630365,3.0455216806306438,2.8154085591388958,2.546289909823299,3.414002259769947
5.17,0,10,2.92021214367923,2.8214724238850946,2.2110910578961485,3.0153109901947475,2.955920236862721,2.7786228026516486,3.098350260998641,2.505073854420661,2.431221809445402,3.113388610638095,2.392235061064167,3.012055586410206,2.9953746819415463,2.5056667035511198,2.6894282782209533,2.7785611913357693,2.8256686811998653,2.6794484394566305,1.7936609768173861,2.2809214080156464,2.7416128138121043,2.675727922680563,2.676516806693832,3.057041060592629,2.772546081805506,3.075417186093012,2.4496359733192166,2.9604990848297863,2.8105813398083415,2.4930614315685227,3.4003482354495853,2.717456126850601,2.8065691070462817,2.17237097177475,3.0921245307595715,2.9873509711297292,2.787889925779871,3.107007067528206,2.5082538418870675,2.4895554239531537,3.1065739239583623,2.4501930745912506,3.036069825651323,3.0392287064097845,2.5584526367834104,2.693113380962292,2.7975261534166513,2.9093611820749334,2.718936763907918,1.825395059364101,2.281149211809201,2.732490037554257,2.663574803466962,2.691445066376815,3.2042925078857887,2.775029113922166,3.0572920153079592,2.4567080672291874,3.0234888032411584,2.7956432372439104,2.4987183701339877,3.3896231364220037
3,0,10,2.9950404269231714,2.8357431943521876,2.350337191367431,3.0179834945023782,3.0033637730165976,2.8412581648819097,3.1830572483237978,2.553437262639798,2.497384475689291,3.2623393113422527,2.4692641834298428,3.1633047363070785,3.058450886207493,2.502112427157916,2.6863265240054393,2.8270194519099734,2.911495753942161,2.759218285947227,1.941013876900565,2.3242934996547855,2.756589200426701,2.656482180736034,2.7562646558033146,3.1955372641666515,2.86519697205877,3.1521140445955207,2.5181074836752697,2.985785256326986,2.872642558611455,2.5461726641228086,3.437210025060329,2.790508440402656,2.8323796720453873,2.325627706385664,3.0843161391606273,3.059018811484805,2.855630097360068,3.1933538388566194,2.5291346936623804,2.5614265679407624,3.2437175914502783,2.5360564602622397,3.1959005859821046,3.097130331888164,2.543161733436005,2.6950058566544004,2.834143679592848,2.9771473646181588,2.772487867227173,1.9751607382423764,2.308073582719034,2.7688645988497878,2.647394749760286,2.7748143606029614,3.3446416048407936,2.86215562512728,3.1268841928337294,2.5260265386056533,3.0416156298304404,2.8475749741615375,2.6011897883206005,3.4339769098838206
5.92,0,10,2.844616742367891,2.796775212828708,2.1233235311008594,2.9023994741250396,2.9350515953026126,2.7562084070318096,3.0616821583605747,2.491554035718622,2.4094480186753806,3.085797554361057,2.3443428491351743,2.9919323202297927,2.9750505783936823,2.4796147890132287,2.670652524106289,2.754624687514894,2.802162319305637,2.6570441313728983,1.7084392952509728,2.247610354153306,2.722026475688894,2.6550549162143326,2.6484806586778933,2.9986299365062385,2.7611922433588347,3.054176159304183,2.4201857040558044,2.9262895606160484,2.7831680707559014,2.4707933267928373,3.3781308253045994,2.71535942562568,2.7735800212523944,2.1043294501398955,2.9784285027706514,2.937757079968228,2.7641173317523635,3.0481430194339594,2.507618453363815,2.452086924069395,3.0747158571665913,2.4010538514223745,3.006556544536932,3.0177853292676193,2.5274064560381944,2.6780649386160804,2.764321137597297,2.868193993471653,2.697096962203194,1.7543856202609023,2.243714088641933,2.691749306296773,2.6408861061313296,2.659378606374846,3.1226924307999533,2.760685841197146,3.0422263848025093,2.426371193022451,2.9847997513888207,2.7739590087688497,2.438306882294883,3.355684705177321
